,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
10,10,-0.10014536825758541,2020-08-12 14:15:16.561744,2020-08-12 14:52:40.390999,0 days 00:37:23.829255000,1.0183731992617573e-06,256,128.0,0.0028558570112856454,0.931138949853833,98,2.440117885878202e-05,COMPLETE
11,11,-0.1307722122955548,2020-08-12 14:52:40.391515,2020-08-12 15:18:33.383638,0 days 00:25:52.992123000,0.007296413178186043,384,96.0,0.0027459758613664347,0.8437648158311966,72,5.020563125352992e-05,COMPLETE
12,12,-0.12139274274053072,2020-08-12 15:18:33.384143,2020-08-12 15:44:48.479138,0 days 00:26:15.094995000,0.00041868880107145945,384,112.0,0.0025897154338638795,0.8625106310026764,100,3.519428124947921e-05,COMPLETE
13,13,-0.11335297276606782,2020-08-12 15:44:48.479645,2020-08-12 16:11:02.672649,0 days 00:26:14.193004000,0.0012314789271228813,384,96.0,0.00925469002256555,0.8594215765130933,75,1.1050607994067692e-06,COMPLETE
14,14,-0.08386818167037938,2020-08-12 16:11:02.673166,2020-08-12 16:48:32.987463,0 days 00:37:30.314297000,0.0008746441250108913,256,112.0,0.004382411864628861,0.9994889447820876,34,4.201192125962452e-05,COMPLETE
15,15,-0.013213547128278616,2020-08-12 16:48:32.987975,2020-08-12 17:14:40.671958,0 days 00:26:07.683983000,0.00027964379165520807,384,96.0,0.0013111192150495644,0.8556232643130972,12,1.2528869426639716e-05,COMPLETE
16,16,-0.14767787951480266,2020-08-12 17:14:40.672464,2020-08-12 17:51:30.400129,0 days 00:36:49.727665000,0.0028111404559037502,256,112.0,0.00158191073088462,0.9213780813757093,68,2.7778468728486344e-06,COMPLETE
17,17,-0.14888018204999104,2020-08-12 17:51:30.400655,2020-08-12 18:29:02.728603,0 days 00:37:32.327948000,0.002474669908178474,256,96.0,0.0003232388817606825,0.9973263002558755,67,1.0538307936621208e-06,COMPLETE
18,18,-0.1353180488563014,2020-08-12 18:29:02.729120,2020-08-12 19:37:38.926526,0 days 01:08:36.197406000,0.002703859790733726,128,112.0,0.00020843326352954617,0.9931332874461445,65,1.28801302922226e-06,COMPLETE
19,19,-0.009104069128327272,2020-08-12 19:37:38.927037,2020-08-12 20:14:29.454932,0 days 00:36:50.527895000,0.002488325633989766,256,96.0,0.00025172919205343415,0.9420749355294742,41,2.9449651440878055e-06,COMPLETE
20,20,-0.14024613229460348,2020-08-12 20:14:29.455439,2020-08-12 20:51:25.392294,0 days 00:36:55.936855000,0.0024940057530339265,256,112.0,0.0004579443768713725,0.9901195805135509,87,2.2621545355925237e-06,COMPLETE
21,21,-0.04917898221812732,2020-08-12 20:51:25.392804,2020-08-12 21:27:54.652583,0 days 00:36:29.259779000,0.0023849957917808575,256,112.0,0.00040150010701358343,0.9644091193769887,85,2.7059039181342338e-06,COMPLETE
22,22,-0.05804305822408094,2020-08-12 21:27:54.653100,2020-08-12 22:04:53.814096,0 days 00:36:59.160996000,0.00991521582227059,256,112.0,0.0007379809821389491,0.9032664991144431,68,1.0085163082967436e-06,COMPLETE
23,23,-0.13950262190339102,2020-08-12 22:04:53.814603,2020-08-12 23:13:02.394074,0 days 01:08:08.579471000,0.002775641873850422,128,80.0,0.0001709604434952623,0.9982416617686125,84,2.8085354766142406e-06,COMPLETE
